id,correct,question,a,b,c,d
T9A11,2,What is antenna gain?,The additional power that is added to the transmitter power,The additional power that is required in the antenna when transmitting on a higher frequency,The increase in signal strength in a specified direction compared to a reference antenna,The increase in impedance on receive or transmit compared to a reference antenna
T9A12,0,What is an advantage of a 5/8 wavelength whip antenna for VHF or UHF mobile service?,It has more gain than a 1/4-wavelength antenna,It radiates at a very high angle,It eliminates distortion caused by reflected signals,It has 10 times the power gain of a 1/4 wavelength whip
T9B01,1,What is a benefit of low SWR?,Reduced television interference,Reduced signal loss,Less antenna wear,All these choices are correct
T9B02,1,What is the most common impedance of coaxial cables used in amateur radio?,8 ohms,50 ohms,600 ohms,12 ohms
T9B03,0,Why is coaxial cable the most common feed line for amateur radio antenna systems?,It is easy to use and requires few special installation considerations,It has less loss than any other type of feed line,It can handle more power than any other type of feed line,It is less expensive than any other type of feed line
T9B04,0,What is the major function of an antenna tuner (antenna coupler)?,It matches the antenna system impedance to the transceiver's output impedance,It helps a receiver automatically tune in weak stations,It allows an antenna to be used on both transmit and receive,It automatically selects the proper antenna for the frequency band being used
T9B05,3,What happens as the frequency of a signal in coaxial cable is increased?,The characteristic impedance decreases,The loss decreases,The characteristic impedance increases,The loss increases
T9B06,1,Which of the following RF connector types is most suitable for frequencies above 400 MHz?,UHF (PL-259/SO-239),Type N,RS-213,DB-25
T9B07,2,Which of the following is true of PL-259 type coax connectors?,They are preferred for microwave operation,They are watertight,They are commonly used at HF and VHF frequencies,They are a bayonet-type connector
T9B08,3,Which of the following is a source of loss in coaxial feed line?,Water intrusion into coaxial connectors,High SWR,Multiple connectors in the line,All these choices are correct
T9B09,1,What can cause erratic changes in SWR?,Local thunderstorm,Loose connection in the antenna or feed line,Over-modulation,Overload from a strong local station
T9B10,2,What is the electrical difference between RG-58 and RG-213 coaxial cable?,There is no significant difference between the two types,RG-58 cable has two shields,RG-213 cable has less loss at a given frequency,RG-58 cable can handle higher power levels
T9B11,2,Which of the following types of feed line has the lowest loss at VHF and UHF?,50-ohm flexible coax,Multi-conductor unbalanced cable,Air-insulated hardline,75-ohm flexible coax
T9B12,0,What is standing wave ratio (SWR)?,A measure of how well a load is matched to a transmission line,The ratio of amplifier power output to input,The transmitter efficiency ratio,An indication of the quality of your station’s ground connection
T0A01,1,Which of the following is a safety hazard of a 12-volt storage battery?,Touching both terminals with the hands can cause electrical shock,"Shorting the terminals can cause burns, fire, or an explosion",RF emissions from a nearby transmitter can cause the electrolyte to emit poison gas,All these choices are correct
T0A02,3,What health hazard is presented by electrical current flowing through the body?,It may cause injury by heating tissue,It may disrupt the electrical functions of cells,It may cause involuntary muscle contractions,All these choices are correct
T0A03,1,"In the United States, what circuit does black wire insulation indicate in a three-wire 120 V cable?",Neutral,Hot,Equipment ground,Black insulation is never used
T0A04,1,What is the purpose of a fuse in an electrical circuit?,To prevent power supply ripple from damaging a component,To remove power in case of overload,To limit current to prevent shocks,All these choices are correct
T0A05,2,Why should a 5-ampere fuse never be replaced with a 20-ampere fuse?,The larger fuse would be likely to blow because it is rated for higher current,The power supply ripple would greatly increase,Excessive current could cause a fire,All these choices are correct
T0A06,3,What is a good way to guard against electrical shock at your station?,Use three-wire cords and plugs for all AC powered equipment,Connect all AC powered station equipment to a common safety ground,Install mechanical interlocks in high-voltage circuits,All these choices are correct
T0A07,3,Where should a lightning arrester be installed in a coaxial feed line?,At the output connector of a transceiver,At the antenna feed point,At the ac power service panel,On a grounded panel near where feed lines enter the building
T0A08,0,Where should a fuse or circuit breaker be installed in a 120V AC power circuit?,In series with the hot conductor only,In series with the hot and neutral conductors,In parallel with the hot conductor only,In parallel with the hot and neutral conductors
T0A09,2,What should be done to all external ground rods or earth connections?,Waterproof them with silicone caulk or electrical tape,Keep them as far apart as possible,Bond them together with heavy wire or conductive strap,Tune them for resonance on the lowest frequency of operation
T0A10,0,What hazard is caused by charging or discharging a battery too quickly?,Overheating or out-gassing,Excess output ripple,Half-wave rectification,Inverse memory effect
T0A11,3,What hazard exists in a power supply immediately after turning it off?,Circulating currents in the dc filter,Leakage flux in the power transformer,Voltage transients from kickback diodes,Charge stored in filter capacitors
T0A12,1,Which of the following precautions should be taken when measuring high voltages with a voltmeter?,Ensure that the voltmeter has very low impedance,Ensure that the voltmeter and leads are rated for use at the voltages to be measured,Ensure that the circuit is grounded through the voltmeter,Ensure that the voltmeter is set to the correct frequency
T0B01,2,Which of the following is good practice when installing ground wires on a tower for lightning protection?,Put a drip loop in the ground connection to prevent water damage to the ground system,Make sure all ground wire bends are right angles,Ensure that connections are short and direct,All these choices are correct
T0B02,3,What is required when climbing an antenna tower?,Have sufficient training on safe tower climbing techniques,Use appropriate tie-off to the tower at all times,Always wear an approved climbing harness,All these choices are correct
T0B03,3,Under what circumstances is it safe to climb a tower without a helper or observer?,When no electrical work is being performed,When no mechanical work is being performed,When the work being done is not more than 20 feet above the ground,Never
T0B04,2,Which of the following is an important safety precaution to observe when putting up an antenna tower?,Wear a ground strap connected to your wrist at all times,Insulate the base of the tower to avoid lightning strikes,Look for and stay clear of any overhead electrical wires,All these choices are correct
T0B05,1,What is the purpose of a safety wire through a turnbuckle used to tension guy lines?,Secure the guy line if the turnbuckle breaks,Prevent loosening of the turnbuckle from vibration,Provide a ground path for lightning strikes,Provide an ability to measure for proper tensioning
T0B06,3,What is the minimum safe distance from a power line to allow when installing an antenna?,Add the height of the antenna to the height of the power line and multiply by a factor of 1.5,The height of the power line above ground,1/2 wavelength at the operating frequency,"Enough so that if the antenna falls, no part of it can come closer than 10 feet to the power wires"
T0B07,2,Which of the following is an important safety rule to remember when using a crank-up tower?,This type of tower must never be painted,This type of tower must never be grounded,"This type of tower must not be climbed unless it is retracted, or mechanical safety locking devices have been installed",All these choices are correct
T0B08,3,Which is a proper grounding method for a tower?,"A single four-foot ground rod, driven into the ground no more than 12 inches from the base",A ferrite-core RF choke connected between the tower and ground,A connection between the tower base and a cold water pipe,"Separate eight-foot ground rods for each tower leg, bonded to the tower and each other"
T0B09,2,Why should you avoid attaching an antenna to a utility pole?,The antenna will not work properly because of induced voltages,The 60 Hz radiations from the feed line may increase the SWR,The antenna could contact high-voltage power lines,All these choices are correct
T0B10,2,Which of the following is true when installing grounding conductors used for lightning protection?,Use only non-insulated wire,Wires must be carefully routed with precise right-angle bends,Sharp bends must be avoided,Common grounds must be avoided
T0B11,1,Which of the following establishes grounding requirements for an amateur radio tower or antenna?,FCC Part 97 rules,Local electrical codes,FAA tower lighting regulations,UL recommended practices
T0C01,3,What type of radiation are radio signals?,Gamma radiation,Ionizing radiation,Alpha radiation,Non-ionizing radiation
T0C02,1,At which of the following frequencies does maximum permissible exposure have the lowest value?,3.5 MHz,50 MHz,440 MHz,1296 MHz
T0C03,2,How does the allowable power density for RF safety change if duty cycle changes from 100 percent to 50 percent?,It increases by a factor of 3,It decreases by 50 percent,It increases by a factor of 2,There is no adjustment allowed for lower duty cycle
T0C04,3,What factors affect the RF exposure of people near an amateur station antenna?,Frequency and power level of the RF field,Distance from the antenna to a person,Radiation pattern of the antenna,All these choices are correct
T0C05,3,Why do exposure limits vary with frequency?,Lower frequency RF fields have more energy than higher frequency fields,Lower frequency RF fields do not penetrate the human body,Higher frequency RF fields are transient in nature,The human body absorbs more RF energy at some frequencies than at others
T0C06,3,Which of the following is an acceptable method to determine whether your station complies with FCC RF exposure regulations?,By calculation based on FCC OET Bulletin 65,By calculation based on computer modeling,By measurement of field strength using calibrated equipment,All these choices are correct
T0C07,1,What hazard is created by touching an antenna during a transmission?,Electrocution,RF burn to skin,Radiation poisoning,All these choices are correct
T0C08,0,Which of the following actions can reduce exposure to RF radiation?,Relocate antennas,Relocate the transmitter,Increase the duty cycle,All these choices are correct
T0C09,1,How can you make sure your station stays in compliance with RF safety regulations?,By informing the FCC of any changes made in your station,By re-evaluating the station whenever an item in the transmitter or antenna system is changed,By making sure your antennas have low SWR,All these choices are correct
T0C10,0,Why is duty cycle one of the factors used to determine safe RF radiation exposure levels?,It affects the average exposure to radiation,It affects the peak exposure to radiation,It takes into account the antenna feed line loss,It takes into account the thermal effects of the final amplifier
T0C11,2,What is the definition of duty cycle during the averaging time for RF exposure?,The difference between the lowest power output and the highest power output of a transmitter,The difference between the PEP and average power output of a transmitter,The percentage of time that a transmitter is transmitting,The percentage of time that a transmitter is not transmitting
T0C12,0,How does RF radiation differ from ionizing radiation (radioactivity)?,RF radiation does not have sufficient energy to cause chemical changes in cells and damage DNA,RF radiation can only be detected with an RF dosimeter,RF radiation is limited in range to a few feet,RF radiation is perfectly safe
T0C13,1,Who is responsible for ensuring that no person is exposed to RF energy above the FCC exposure limits?,The FCC,The station licensee,Anyone who is near an antenna,The local zoning board
